Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-167.66243,116.949036,23.875092,-435.08444,90.30434782608695,-165.19225,81.27515,-70.44336,-349.06223,91.81818181818181,-129.54263305664062,2020,3.4405288696289062,-165.19225,0
-173.87431,99.24689,-70.36269,-437.94537,90.1304347826087,-216.00188,107.1235,-88.98567,-409.79706,100.6,-155.18057250976562,4032,6.6759419441223145,,1
-184.29309,102.73475,-70.35454,-402.2909,87.83333333333333,-150.87617,89.837685,37.113647,-328.2541,91.65217391304348,-117.05744171142578,6140,9.879188776016235,,2
-154.17561,78.55458,-55.100548,-368.67798,89.91304347826087,-165.03848,98.74913,-9.962944,-452.8297,90.3913043478261,-122.10616302490234,8219,13.228337526321411,,3
-144.18477,60.452724,-77.29003,-342.71478,89.69565217391305,-158.79541,94.36409,12.305328,-483.45038,85.125,-123.2090835571289,10262,16.98507022857666,,4
-176.27188,111.46878,-29.321764,-515.55066,87.8695652173913,-182.31369,104.11062,27.697895,-381.4184,154.76923076923077,-72.35623168945312,12274,20.75032091140747,,5
-162.18007,79.8787,-68.50978,-407.36108,85.08333333333333,-163.113,96.11994,-57.26827,-452.7564,83.12,-125.77767181396484,14352,24.212275505065918,,6
-172.91264,84.92478,-88.094284,-375.12723,84.625,-167.80771,95.2516,-36.820366,-410.82578,88.0,-128.06298828125,16376,27.684848308563232,,7
-180.23906,95.87847,-28.272324,-393.81287,89.73913043478261,-154.64116,86.053276,19.572685,-356.00623,85.375,-122.86990356445312,18425,31.06001925468445,,8
-133.50056,53.02468,14.780617,-248.44191,81.68,-126.09499,60.933403,-24.748596,-308.9684,83.16,-92.04399871826172,20504,34.50839614868164,,9
-153.56479,79.95269,-17.172577,-312.63556,81.04,-123.12374,83.67934,21.85498,-359.93958,86.0,-88.88291931152344,22568,37.879170656204224,,10
-160.33899,96.64522,-8.402084,-437.9385,85.45833333333333,-135.71617,71.393776,55.67453,-334.23972,87.3913043478261,-101.00303649902344,24578,41.24585509300232,,11
-150.16087,54.936977,-56.555264,-257.575,81.68,-156.3643,50.560806,-89.57672,-327.15863,84.58333333333333,-121.09090423583984,26608,44.66776704788208,,12
