Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-146.75829,97.128654,2.8728943,-439.5238,81.52,-189.14256,112.66688,-6.571846,-486.32074,93.81395348837209,-138.76429748535156,4034,3.380260705947876,-189.14256,0
-134.42293,64.37757,-0.3680954,-304.98688,84.375,-136.81895,96.441055,101.90053,-412.07303,111.13888888888889,-79.24217987060547,8035,7.309923410415649,,1
-138.701,81.69016,6.4365845,-355.56638,76.5925925925926,-168.0681,97.43001,10.132055,-506.28247,83.4375,-133.1786651611328,12040,10.362587451934814,,2
-164.32394,99.09217,-73.25781,-477.23798,81.92,-145.83585,55.401894,-9.676933,-348.9178,85.29787234042553,-113.35392761230469,16049,13.407529830932617,,3
-153.8114,70.77016,-75.261604,-327.04358,84.75,-128.96461,45.88117,-60.245907,-335.1206,80.42,-99.56279754638672,20070,16.4156277179718,,4
-133.73021,52.84672,-82.871666,-360.38522,81.4,-139.49487,81.45243,24.68554,-334.60233,85.57446808510639,-103.42831420898438,24092,19.40463352203369,,5
-125.68109,28.234072,-71.56644,-209.54453,84.29166666666667,-143.87422,76.344124,-2.3253555,-425.75027,83.70833333333333,-115.04072570800781,28110,22.380802154541016,,6
-119.15429,32.000957,-51.26649,-203.9617,82.16,-132.80133,61.14194,-19.359322,-338.7845,82.65306122448979,-102.6961898803711,32160,25.37663221359253,,7
-120.42158,48.24624,-63.760628,-329.25452,76.88888888888889,-129.60423,44.09841,-46.663948,-283.72635,80.64,-97.18025207519531,36192,28.366841316223145,,8
-127.786835,32.011204,-80.01974,-202.66533,83.91666666666667,-121.66879,50.100643,0.31845856,-276.44946,82.51020408163265,-98.3065185546875,40235,31.388680934906006,,9
-106.56,31.554827,4.550209,-153.51605,73.21428571428571,-132.69481,41.483074,-63.986435,-259.62585,82.75510204081633,-100.6284408569336,44290,34.355199575424194,,10
-119.18254,51.0451,-20.794548,-270.84912,89.3913043478261,-117.04115,47.598263,45.080048,-253.96082,80.44,-84.23429107666016,48312,37.29620432853699,,11
-117.35863,25.118032,-59.317215,-173.86267,78.03846153846153,-129.26158,59.033348,-15.15136,-324.6954,84.29166666666667,-97.60295867919922,52358,40.223512411117554,,12
-111.70591,33.32249,-61.29638,-201.46063,80.16,-126.00495,50.134388,23.041122,-325.23972,82.95918367346938,-94.60372924804688,56423,43.15220904350281,,13
-112.56567,47.049587,-20.154633,-247.0584,80.48,-118.53561,42.80426,16.54648,-318.36877,81.0,-88.30055236816406,60473,46.12771797180176,,14
-124.27924,58.034325,-57.898766,-336.27496,78.88461538461539,-113.85369,34.090214,2.6619873,-186.08112,80.82,-89.24256134033203,64514,49.08418416976929,,15
-126.35248,63.150364,-2.2974968,-267.6239,80.48,-134.19989,56.47994,-50.120213,-358.27203,84.5,-98.58145141601562,68570,52.01385736465454,,16
-139.77374,63.220825,-57.618256,-348.2901,82.84,-129.56136,60.420708,9.71711,-344.97064,84.33333333333333,-97.00860595703125,72618,54.976120710372925,,17
-118.68512,31.219418,-76.691696,-203.23744,84.875,-115.875694,49.11488,1.2280426,-246.30255,84.95833333333333,-86.53831481933594,76696,57.95616579055786,,18
-118.16498,43.015663,-58.848835,-272.66467,81.56,-113.15486,57.26878,108.22391,-236.72258,102.8974358974359,-68.03895568847656,80709,61.257550954818726,,19
