Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-140.4138,65.20115,-64.26581,-336.18213,84.5,-217.81932,121.73888,-11.710344,-488.339,93.18181818181819,0.0009934513363987207,16989.287109375,2050,4.023744583129883,-217.81932,0
-149.15184,91.60379,-67.16729,-454.36935,86.0,-199.66579,127.99051,-14.4012375,-471.8653,96.80952380952381,-0.0013151980238035321,14230.9267578125,4083,7.925991773605347,,1
-135.06935,73.40972,2.7307358,-314.6734,87.17391304347827,-123.53042,31.51567,-64.21316,-188.43648,81.6,0.0013512892182916403,4812.97705078125,6123,11.502218246459961,,2
-134.87364,57.197834,-50.72496,-291.66412,92.27272727272727,-164.4349,110.48244,36.55835,-446.3375,87.21739130434783,-0.011691643856465816,11232.837890625,8129,15.071196794509888,,3
-125.47607,39.75355,-43.114826,-202.19728,85.125,-129.88263,56.421093,-47.62947,-244.52963,84.625,-0.00788964331150055,5344.72265625,10160,18.659785270690918,,4
-131.349,43.603626,-60.76534,-236.59859,82.68,-134.76645,72.66184,-23.486397,-392.11334,87.8695652173913,-0.018098387867212296,6372.16015625,12181,22.243329286575317,,5
-121.82009,30.0304,-64.83557,-218.15465,84.04166666666667,-104.42832,56.974487,24.109035,-238.66078,90.1304347826087,0.005962870549410582,3623.77880859375,14254,25.83208465576172,,6
-114.586006,23.440897,-78.448875,-161.0939,81.0,-118.21111,41.91817,-48.678795,-230.91943,84.04166666666667,-0.005519982427358627,4445.0078125,16271,29.380960702896118,,7
-139.76837,56.49792,-54.204643,-271.07718,89.52173913043478,-125.66401,45.40988,-60.35723,-244.59776,84.75,-0.02233937755227089,4498.150390625,18305,32.974823236465454,,8
-103.85453,43.665916,33.58291,-191.55197,85.91666666666667,-116.44857,46.36739,-71.850746,-299.91205,87.17391304347827,-0.005951222497969866,3947.562255859375,20310,36.494840145111084,,9
-112.60481,30.022263,-18.958908,-155.74092,82.72,-121.4803,69.86741,33.650284,-353.06396,94.0,0.0077009075321257114,5116.83935546875,22378,40.075735092163086,,10
-104.04052,30.669802,-53.7658,-174.98955,91.0909090909091,-135.32164,32.63407,-89.83678,-203.40451,91.72727272727273,-0.0029103909619152546,4773.82275390625,24396,43.57386040687561,,11
-114.88134,44.970417,25.012993,-199.30618,85.75,-107.15431,21.317234,-53.354717,-159.7185,75.5925925925926,-0.009705830365419388,3012.511474609375,26437,47.1567599773407,,12
-115.18535,41.032352,-56.329918,-218.04628,80.48,-109.25979,41.386723,-47.246536,-224.09897,83.625,-0.004234230611473322,3386.3330078125,28444,50.66500401496887,,13
-111.715935,41.143345,-2.6313019,-190.13678,87.16666666666667,-113.39687,41.409557,-24.819809,-212.0105,86.79166666666667,0.007188772317022085,3310.119140625,30527,54.28355288505554,,14
-129.68611,55.07739,-48.928192,-289.96683,84.95833333333333,-98.409424,37.513832,3.2248,-166.91,87.65217391304348,-0.0036120794247835875,2744.59130859375,32543,57.70396280288696,,15
-104.82919,69.276955,37.174347,-234.74744,97.42857142857143,-95.409645,40.1576,1.5044632,-207.25708,91.77272727272727,-0.01182981301099062,2314.0302734375,34562,61.23171854019165,,16
-105.75326,56.75022,-23.708412,-217.70972,97.23809523809524,-103.39163,40.062477,22.839622,-178.19574,88.08695652173913,-0.013854744844138622,2818.328369140625,36588,64.79579472541809,,17
-94.16796,58.185158,5.591667,-244.7453,185.8181818181818,-142.70079,86.841774,-72.13338,-341.6892,101.25,0.04389098659157753,6222.7685546875,38613,69.08774781227112,,18
-98.83545,47.106983,-23.984741,-225.6023,103.8,-91.72765,43.303684,-14.96928,-221.60352,99.42857142857143,0.00043726881267502904,2033.0162353515625,40701,72.6702573299408,,19
-81.41791,56.808937,53.42723,-187.48552,108.26315789473684,-114.09593,69.43813,-20.454712,-298.48108,102.9,0.004274740815162659,3630.694091796875,42759,76.17356133460999,,20
-106.339096,61.0403,10.02169,-233.75294,117.83333333333333,-93.712,38.17254,-28.445122,-197.47528,120.0,-0.016070513054728508,1408.1651611328125,44919,79.88284158706665,,21
-60.678635,61.32189,61.093124,-206.47159,185.23076923076923,-75.12689,45.665844,-12.852135,-211.1109,118.29411764705883,-0.016169080510735512,1454.09521484375,46930,84.16887784004211,,22
-63.626587,49.18641,0.72696686,-141.32822,185.63636363636363,-90.42995,56.23958,-38.47342,-226.3537,130.375,0.01873934455215931,2217.48095703125,49016,88.21220850944519,,23
-66.14315,73.998566,52.533325,-192.16948,137.4,-102.36306,88.08562,4.2292404,-291.68225,137.06666666666666,0.018597254529595375,3141.410888671875,51072,92.57853317260742,,24
-84.33476,69.60762,-23.365889,-258.3538,136.66666666666666,-68.34526,59.056343,33.546783,-203.41658,131.0625,0.010400003753602505,1667.2415771484375,53169,97.03456020355225,,25
-44.511944,40.748306,44.05992,-124.660614,216.3846153846154,-78.02538,71.60283,6.1981735,-295.6322,144.21428571428572,0.017025429755449295,1953.4326171875,55188,102.70455503463745,,26
-41.240276,26.250147,0.08140564,-90.2108,236.22222222222223,-61.203354,64.069534,5.809181,-213.2671,168.58333333333334,0.011128291487693787,1614.3394775390625,57211,107.62349700927734,,27
-34.52791,45.05695,34.7359,-109.07714,194.36363636363637,-75.24477,80.06818,62.160828,-234.52649,271.8888888888889,-0.02154931053519249,1823.238525390625,59658,113.28973078727722,,28
-46.37706,31.314867,-7.2184296,-114.51875,234.11111111111111,-34.5036,39.49709,28.205704,-109.11338,171.25,-0.01766730658710003,1152.9854736328125,61713,117.81404781341553,,29
-64.60244,89.91301,42.99524,-232.12413,226.22222222222223,-60.425667,84.40632,12.324921,-202.77452,299.2857142857143,0.04412621259689331,1491.7633056640625,63808,123.07982015609741,,30
-21.37575,33.242786,19.213467,-81.44249,339.8333333333333,-51.051464,48.96381,1.5619783,-158.82797,293.14285714285717,-0.04905739426612854,1676.10107421875,65860,128.4677836894989,,31
-41.995415,54.88102,-5.668556,-172.89383,312.42857142857144,-82.30902,61.532063,-13.406372,-208.79123,311.7142857142857,-0.02353699691593647,2219.7431640625,68042,134.5177140235901,,32
-7.6761727,36.917793,27.838726,-82.7386,482.3333333333333,-51.506725,63.58004,64.06788,-178.17952,204.2,0.013524266891181469,1337.164306640625,70084,141.33561873435974,,33
-31.159489,58.281296,17.811943,-164.85527,413.57142857142856,-25.014576,49.303665,62.309586,-72.730225,402.0,-0.02185811847448349,912.5138549804688,72094,148.2178692817688,,34
6.395686,11.70129,21.524658,-11.1131935,612.25,-48.657757,74.41837,0.050522804,-228.40404,309.2857142857143,0.02042115107178688,1427.3170166015625,74259,154.91286873817444,,35
-35.392212,30.595423,-9.7300415,-93.95163,516.6,-132.25378,70.52139,-63.10039,-246.12674,500.75,-0.05705799162387848,1486.991455078125,76262,161.56781840324402,,36
-38.563046,24.87142,-20.106293,-73.721954,770.0,-45.27762,60.711792,13.2048435,-154.466,306.14285714285717,0.03852802515029907,1416.464599609375,78405,168.45082449913025,,37
