Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-147.173,64.31869,-15.980942,-305.19257,87.0,-168.75494,85.154976,-49.746502,-446.2337,87.56521739130434,-128.37045288085938,2014,4.232179641723633,-168.75494,0
-164.1248,82.05386,-40.463455,-330.26526,85.20833333333333,-183.90279,113.917145,-62.60556,-417.56616,86.29166666666667,-143.73983764648438,4085,8.187057733535767,,1
-161.62595,76.8578,-14.6807785,-341.82147,87.17391304347827,-163.78603,93.50877,-86.47397,-465.23856,89.04347826086956,-123.13521575927734,6133,11.88112187385559,,2
-137.61371,39.94623,-77.27797,-241.08464,80.32,-147.61607,92.88721,-49.404446,-439.276,79.92307692307692,-114.03111267089844,8211,15.60013747215271,,3
-119.93661,61.53132,11.915306,-349.38098,79.42307692307692,-161.59357,71.02757,-82.11769,-347.08963,88.34782608695652,-125.49308013916016,10243,19.348573684692383,,4
-113.82802,45.141994,-7.156227,-187.24191,82.92,-128.68228,62.172066,17.165688,-336.90295,85.20833333333333,-96.21623992919922,12288,23.11174201965332,,5
-129.24144,40.264717,-7.051361,-223.63353,78.1923076923077,-130.57509,39.29311,-40.184288,-229.5847,81.84,-99.66950988769531,14334,26.818739652633667,,6
-143.46408,63.653973,-71.81978,-350.5943,87.1304347826087,-140.20395,61.14069,-21.867958,-326.5603,82.08,-112.63561248779297,16386,30.516194820404053,,7
-113.0209,30.990984,1.068367,-156.93028,83.79166666666667,-122.33247,38.369877,-23.763657,-209.52365,80.04,-95.14620971679688,18387,34.14426040649414,,8
-110.90953,30.844463,-65.65028,-191.73198,75.4074074074074,-127.348755,68.69613,1.5486145,-389.15714,84.79166666666667,-97.84312438964844,20422,37.85983657836914,,9
-120.5846,43.587456,-25.47313,-217.47061,80.68,-139.60686,52.47945,-70.13499,-278.6338,84.25,-108.13127136230469,22444,41.543811321258545,,10
-112.62656,25.970192,-69.38193,-173.36147,78.3076923076923,-126.16138,36.898808,-46.198227,-206.25928,85.375,-97.25047302246094,24493,45.241769313812256,,11
-121.341255,26.898344,-67.96597,-200.05595,79.42307692307692,-120.31771,38.782986,-65.94779,-268.9402,78.96153846153847,-95.3585433959961,26546,48.9389533996582,,12
-111.68333,57.78091,5.742584,-345.80307,80.84,-121.17208,37.772694,-25.741371,-202.54498,85.625,-95.1593017578125,28601,52.60964345932007,,13
