Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-162.69841,122.8533,9.33773,-489.94214,95.86363636363636,-170.5011,98.18625,42.248955,-352.83768,87.6086956521739,-130.94491577148438,2015,4.8523499965667725,-170.5011,0
-184.37965,95.21161,-74.74404,-449.70248,85.70833333333333,-151.797,97.31235,14.583359,-421.47504,92.0909090909091,-113.43260192871094,4041,9.179701805114746,,1
-164.05812,101.43573,-0.11388397,-471.9862,96.71428571428571,-146.0851,80.53329,-34.853546,-335.03143,87.04347826086956,-112.45146942138672,6043,13.222428798675537,,2
-140.12999,84.624344,-57.97437,-445.0409,84.66666666666667,-146.05786,74.964935,-63.02467,-304.54486,88.56521739130434,-112.44403839111328,8080,17.291192293167114,,3
-141.25735,57.562958,-56.63153,-293.92093,88.91304347826087,-150.6458,73.571365,-64.27777,-420.40366,89.17391304347827,-120.56670379638672,10131,21.457833528518677,,4
-132.00352,54.20611,15.757637,-241.8619,91.0909090909091,-150.21552,70.915085,-18.657883,-354.7128,87.52173913043478,-113.05516815185547,12144,25.44965147972107,,5
-104.979706,67.41732,3.6622086,-287.58023,87.04166666666667,-136.23297,66.94021,-39.74062,-264.42966,88.26086956521739,-105.57966613769531,14174,29.656989812850952,,6
-132.04353,65.17017,11.378532,-329.6219,82.56,-128.4698,82.70989,-3.26577,-427.68082,85.66666666666667,-101.42935180664062,16230,33.74291205406189,,7
-122.68989,45.86333,10.538109,-248.09598,89.17391304347827,-117.99669,64.70059,28.49324,-311.5023,83.52,-91.52415466308594,18318,37.85243272781372,,8
-114.948814,39.23657,-48.72509,-224.86241,83.91666666666667,-114.51984,36.736652,-29.618095,-188.20204,85.45833333333333,-93.31217956542969,20369,41.93432641029358,,9
-132.51212,71.26997,23.72416,-354.39023,77.73076923076923,-137.96303,48.53967,-63.833374,-217.56699,85.45833333333333,-109.65599060058594,22420,46.100380182266235,,10
-118.87635,48.90716,-50.50117,-251.09181,87.56521739130434,-123.45169,45.398903,-32.73781,-212.1189,86.04166666666667,-97.01605987548828,24485,50.197776079177856,,11
-133.69652,62.0569,-74.12471,-357.467,81.84,-138.56548,80.98647,-0.31829834,-331.18713,91.26086956521739,-105.30705261230469,26584,54.31403160095215,,12
-106.895584,49.169746,-9.570061,-232.08743,81.32,-129.06401,59.961742,-25.788544,-306.7284,81.6,-106.87179565429688,28624,58.40505862236023,,13
-123.25015,56.470833,-46.209568,-310.58887,85.79166666666667,-123.15275,75.40601,-2.2847977,-347.6349,85.79166666666667,-92.60865020751953,30683,62.51366925239563,,14
-109.75094,51.25526,-34.10582,-312.539,85.79166666666667,-120.72767,61.178596,10.950966,-331.79285,88.04347826086956,-96.05156707763672,32708,66.02543616294861,,15
-103.01835,34.28965,5.835205,-153.03316,83.45833333333333,-117.61841,38.536232,-44.055634,-232.03952,81.12,-96.70365142822266,34736,70.00501942634583,,16
-107.19625,37.097195,-44.310753,-204.17749,82.36,-118.82979,71.12322,38.99771,-308.95587,78.76923076923077,-96.8431396484375,36784,74.03267288208008,,17
-110.48452,61.45629,-23.78469,-334.492,81.36,-122.82394,44.372787,-53.69147,-234.27454,85.41666666666667,-95.13786315917969,38834,78.07708930969238,,18
-109.90933,47.952938,-43.241764,-292.24152,87.125,-120.425316,61.20064,-6.488411,-361.9029,85.33333333333333,-91.68965911865234,40882,82.12199807167053,,19
-110.331215,49.920006,-33.437714,-229.05333,84.0,-111.76705,55.015522,-56.995552,-310.4513,87.25,-81.65211486816406,42976,86.21665573120117,,20
-101.190186,54.256706,26.391685,-304.45242,81.72,-114.13731,70.76093,11.541344,-378.889,86.20833333333333,-88.68942260742188,45045,90.27992939949036,,21
-103.52976,43.62264,-31.049072,-205.59613,85.41666666666667,-116.16377,59.12656,-22.44439,-276.62732,81.04,-92.939697265625,47071,94.29297804832458,,22
-109.041664,63.876404,-28.939316,-280.42432,88.95652173913044,-100.92005,48.403458,-9.328178,-247.10526,84.58333333333333,-81.98451232910156,49101,98.37091708183289,,23
-86.06196,54.54161,52.214813,-197.7066,84.41666666666667,-94.851906,43.81778,-1.7484589,-200.21622,86.58333333333333,-72.3759994506836,51179,102.42045998573303,,24
-82.66313,48.796604,37.073303,-203.6105,89.3913043478261,-93.22683,34.38792,-35.21982,-172.48428,88.04347826086956,-72.56248474121094,53204,106.4402585029602,,25
-92.048645,33.363106,-24.421638,-174.2211,89.04347826086956,-91.00213,44.882423,-3.230896,-252.66852,86.16666666666667,-74.05057525634766,55272,110.57726168632507,,26
