Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-193.8651,121.38165,10.283585,-504.79565,95.57142857142857,-164.33861,69.19872,-67.90753,-376.1966,85.5,-123.4343490600586,2052,4.7337565422058105,-164.33861,0
-155.07613,82.81382,0.43518066,-351.11136,85.375,-181.1692,89.748375,-93.73945,-415.78696,84.375,-142.16944885253906,4077,9.192652225494385,,1
-169.0884,82.36302,-73.39621,-461.88998,79.42307692307692,-157.08618,95.4692,-14.779785,-360.641,84.625,-116.84269714355469,6108,13.320508003234863,,2
-129.67395,48.064793,-20.086151,-287.2155,80.36,-157.52783,81.055984,-0.71097565,-365.90533,81.16,-118.79913330078125,8137,17.44464659690857,,3
-142.08186,44.81139,-88.13063,-263.7643,83.375,-138.01364,64.54375,8.801239,-329.99182,81.12,-103.64169311523438,10165,21.52822208404541,,4
-124.28687,63.444496,-12.574158,-292.1048,82.72,-153.00461,70.23384,16.72779,-359.51544,78.23076923076923,-119.79283905029297,12199,25.680837154388428,,5
-144.3471,51.93936,-35.903343,-268.39847,82.96,-167.60442,70.33006,-64.54679,-347.67664,87.43478260869566,-127.18098449707031,14210,29.90049409866333,,6
-143.19328,57.478073,-33.215317,-271.78723,80.0,-151.94775,51.9304,-99.45812,-315.9307,80.12,-114.05854797363281,16213,33.97345471382141,,7
-159.1082,68.506805,16.383377,-372.88077,85.66666666666667,-138.31442,63.669662,37.895355,-355.3683,81.64,-106.8245620727539,18254,38.1154887676239,,8
-159.98308,68.68333,-17.853592,-289.06897,84.66666666666667,-144.19217,86.87925,52.264587,-334.3393,84.79166666666667,-111.24574279785156,20289,42.20083689689636,,9
-167.83585,90.913025,2.47995,-373.10336,80.64,-131.94962,86.68914,41.32051,-347.52625,82.08,-100.84197235107422,22341,46.34272789955139,,10
-158.4607,85.10131,-17.271324,-346.76382,85.70833333333333,-157.53198,91.778725,-6.666931,-391.62366,80.76,-126.66101837158203,24360,50.481606245040894,,11
-180.1677,88.784836,33.938828,-340.8682,82.68,-127.70077,97.248825,20.141525,-417.73898,87.56521739130434,-94.79358673095703,26374,54.543057918548584,,12
-159.7176,90.11586,-4.6959305,-361.05142,78.61538461538461,-199.54037,54.51643,-102.67801,-317.60687,80.68,-151.6409454345703,28391,58.64627027511597,,13
-152.63039,117.781044,73.907135,-464.19153,122.52173913043478,-197.25275,88.79507,-10.055038,-369.6464,85.29166666666667,-148.88101196289062,30438,63.87037420272827,,14
-126.56405,43.51489,-30.933228,-243.60764,78.61538461538461,-163.95496,89.63656,20.954971,-344.56653,81.6,-130.96514892578125,32478,67.94037222862244,,15
-137.95575,43.051907,-30.525711,-233.9333,78.5,-160.12642,53.73208,-88.487305,-355.30258,82.88,-123.50463104248047,34550,72.0558431148529,,16
-125.00704,49.936626,-58.679012,-304.01102,81.28,-136.15427,47.703144,-44.68898,-288.77164,81.04,-103.17711639404297,36576,76.13446545600891,,17
-137.25139,62.74668,-68.22392,-327.9936,80.32,-130.31009,46.900665,-68.086395,-280.54047,85.33333333333333,-103.314453125,38624,80.15878200531006,,18
-110.551216,32.819756,15.416405,-163.8938,78.92307692307692,-133.28879,51.539234,-75.36344,-329.46613,78.5,-105.39541625976562,40665,84.18922185897827,,19
-133.27625,67.74888,-35.318474,-342.82217,81.48,-107.48187,56.619232,34.536148,-220.53113,80.64,-75.09446716308594,42681,88.28165912628174,,20
-111.07903,44.673187,-7.222191,-215.76181,79.34615384615384,-122.12014,37.581795,-20.0355,-204.58374,82.08,-86.54866027832031,44733,92.40536832809448,,21
-130.33228,72.036,3.7589722,-341.1228,77.96153846153847,-133.51953,58.433666,-78.23419,-316.47046,78.88461538461539,-105.36369323730469,46784,96.52546310424805,,22
-119.8839,41.405502,-61.736263,-271.40143,82.2,-119.59329,32.95548,-20.922256,-195.6268,76.92307692307692,-90.37496948242188,48784,100.51975321769714,,23
-134.70049,60.711422,-44.67331,-353.88965,87.08333333333333,-131.65358,51.32291,-10.83419,-253.72122,83.95833333333333,-94.05487060546875,50799,104.62251091003418,,24
-141.22826,66.2747,-59.105217,-341.84485,81.76,-119.56566,39.766792,-53.82805,-216.70215,77.0,-93.20433807373047,52801,108.66694045066833,,25
-114.91418,33.75666,-64.59891,-212.58151,81.72,-131.79555,62.745564,-73.11387,-347.76715,84.66666666666667,-94.91666412353516,54833,112.68077874183655,,26
-111.726265,43.728607,1.4214334,-232.73495,85.41666666666667,-105.85229,40.890602,12.56884,-171.57364,75.5925925925926,-79.9810562133789,56874,116.73169708251953,,27
-106.96096,44.17629,-17.982925,-207.32617,85.54166666666667,-134.81493,64.68599,-70.089325,-315.51285,79.61538461538461,-108.50103759765625,58944,120.81931734085083,,28
-106.13755,31.284445,-57.34653,-226.89049,74.70370370370371,-118.56122,51.705555,12.491829,-234.37471,82.28,-90.29290008544922,61001,124.83729672431946,,29
-113.49298,41.419804,-43.042282,-229.70372,83.91666666666667,-116.00149,31.058924,-60.89074,-183.45401,80.6,-88.48103332519531,63016,128.83664870262146,,30
