Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-180.63602,106.60562,-76.73978,-521.69305,99.95238095238095,-183.27946,93.79733,-67.64258,-390.9894,90.21739130434783,-133.8253173828125,2075,3.3065240383148193,-183.27946,0
-168.02008,92.35759,-74.115364,-408.75327,92.86363636363636,-170.51285,87.86334,-63.22163,-384.45276,88.0,-132.3651580810547,4099,6.448674201965332,,1
-140.60721,97.83764,45.456055,-326.50507,99.19047619047619,-123.28643,64.22071,56.89973,-282.34003,127.18181818181819,-63.496334075927734,6897,10.350271940231323,,2
-141.45596,93.671326,39.20009,-364.8764,89.69565217391305,-150.95393,117.12396,6.1620865,-444.0065,85.91666666666667,-113.19871520996094,8959,13.276616096496582,,3
-138.05412,86.18715,5.1039734,-321.9458,96.04545454545455,-119.169945,48.205917,-17.73442,-252.89232,85.20833333333333,-95.76866149902344,11004,16.252585649490356,,4
-111.56717,36.46448,-20.897438,-184.03574,92.77272727272727,-153.41692,66.76972,-58.831253,-295.2987,96.28571428571429,-111.45301055908203,13026,19.19003677368164,,5
-127.342155,57.152134,-71.50238,-278.16965,91.77272727272727,-130.87341,90.36428,29.884842,-410.99353,88.47826086956522,-100.94116973876953,15061,22.119929552078247,,6
-121.628204,37.791847,-38.819786,-228.97006,87.43478260869566,-131.5956,74.61866,-41.89046,-400.93796,86.29166666666667,-105.96842193603516,17132,25.033737421035767,,7
-98.61687,41.653713,-50.855133,-198.34622,87.56521739130434,-130.12743,79.28274,3.459671,-316.842,89.1304347826087,-98.76388549804688,19182,27.940253734588623,,8
-113.245964,67.76363,6.29097,-346.94385,93.27272727272727,-116.778175,59.400566,28.24791,-280.80988,89.78260869565217,-86.69757080078125,21247,30.91330623626709,,9
-122.69107,57.20376,-12.33477,-264.92157,100.85714285714286,-134.27795,62.351112,-26.525705,-285.06467,109.94736842105263,-90.31024932861328,23336,33.97005486488342,,10
-164.89287,80.11306,-55.25501,-286.80063,107.36842105263158,-122.06956,57.61218,-29.295029,-282.15182,98.71428571428571,-87.46391296386719,25409,36.96915411949158,,11
-103.18734,65.742195,13.176018,-318.28223,99.28571428571429,-139.04138,69.53636,-26.524391,-307.14975,98.95238095238095,-100.28905487060547,27487,39.97213363647461,,12
-98.45032,57.06884,41.53722,-222.53323,153.94117647058823,-142.42953,76.0998,-30.778229,-283.50787,101.2,-106.04983520507812,29511,43.66812491416931,,13
-93.03938,26.293207,-29.906189,-144.08736,90.65217391304348,-99.99356,68.825676,26.991356,-277.2464,96.19047619047619,-77.51863098144531,31531,46.62161087989807,,14
-96.48327,45.02927,-41.294865,-231.01595,94.45454545454545,-105.923096,64.57926,-30.277279,-279.60367,114.11111111111111,-72.57643127441406,33585,49.59873962402344,,15
-127.52574,75.7129,-47.231236,-416.4931,99.52380952380952,-98.80931,56.416878,62.07155,-258.2423,98.47619047619048,-72.11729431152344,35653,52.56791687011719,,16
-115.24729,77.40545,-22.874123,-375.23077,109.47368421052632,-127.60952,65.32726,-53.506947,-288.41095,105.65,-93.32159423828125,37766,55.59675121307373,,17
-104.09544,45.361546,-41.05815,-215.91241,97.42857142857143,-127.117134,91.20336,-42.9069,-367.4287,105.78947368421052,-93.78331756591797,39776,58.52271819114685,,18
-87.22639,49.418728,42.451767,-168.26355,92.04545454545455,-105.4195,38.88808,-33.993553,-187.75755,97.19047619047619,-78.38508605957031,41817,61.48166465759277,,19
-112.9305,55.83805,-51.16494,-266.5265,100.9,-89.5998,47.26145,-29.64886,-271.43463,92.5909090909091,-72.4477310180664,43854,64.42995405197144,,20
-118.19562,48.35948,-54.198536,-242.16544,104.05,-70.42724,43.370132,38.50154,-189.13286,95.22727272727273,-50.34366989135742,45949,67.45179629325867,,21
-90.557686,31.561718,-25.142242,-147.36142,97.42857142857143,-106.484955,54.025497,23.27797,-209.10117,96.52380952380952,-80.20066833496094,47976,70.41121077537537,,22
-93.40952,59.726196,4.9559097,-309.10132,103.05,-97.67201,40.54553,5.3249283,-167.33304,105.55,-71.16080474853516,50087,73.42409682273865,,23
-68.930176,36.003754,-0.19134331,-139.82924,98.38095238095238,-112.49546,64.779396,-31.023506,-305.12036,94.13636363636364,-87.70856475830078,52158,76.40209722518921,,24
-104.77094,48.121143,-23.285515,-237.74579,88.47826086956522,-81.100426,60.7899,93.47876,-153.96352,168.33333333333334,-32.18419647216797,54178,79.7569031715393,,25
-100.557945,42.7897,-44.587734,-243.37505,101.4,-101.79326,34.249504,-44.4272,-203.78813,96.0952380952381,-77.8869857788086,56196,82.66609764099121,,26
-92.59553,41.851078,-47.591812,-244.75418,93.95454545454545,-93.0618,34.025234,-19.503937,-162.6265,97.57142857142857,-70.65318298339844,58245,85.62919855117798,,27
-75.85974,26.244766,-19.373741,-121.4377,105.63157894736842,-82.30547,39.18131,15.557142,-165.79369,94.18181818181819,-64.52816009521484,60317,88.61931443214417,,28
-90.65517,35.23862,-45.1641,-197.64874,102.5,-71.52578,32.235207,11.7102165,-136.05508,100.45,-53.75374984741211,62326,91.57797360420227,,29
-72.02426,35.189423,-20.096352,-145.31805,106.6842105263158,-111.011185,60.455765,-22.616058,-321.45105,95.4090909090909,-83.83357238769531,64425,94.55915784835815,,30
-63.82052,28.621748,4.654381,-135.28925,93.95454545454545,-72.11626,35.590538,-18.461142,-157.21936,102.4,-55.44252395629883,66473,98.14436936378479,,31
-82.3803,43.83313,-12.539464,-191.67667,109.57894736842105,-67.10829,27.778313,-29.262072,-163.1727,102.3,-54.570899963378906,68519,101.74189472198486,,32
-68.095116,29.855291,-19.142334,-113.557495,108.78947368421052,-82.41113,21.736094,-47.160206,-121.01567,103.45,-60.067195892333984,70588,105.43774914741516,,33
-73.65022,35.107548,36.89839,-138.75983,106.3157894736842,-81.62373,44.227295,-36.443825,-239.90388,115.77777777777777,-58.60786437988281,72672,109.10038781166077,,34
-53.596104,21.171122,-9.317934,-88.723694,125.3125,-64.29448,20.03407,-26.285759,-111.59519,106.2,-48.73939895629883,74796,112.80164885520935,,35
-60.902275,22.057974,-18.282318,-98.388435,116.72222222222223,-34.16464,32.456684,62.04293,-90.37019,113.66666666666667,-28.2729434967041,76842,116.50382494926453,,36
-50.74601,28.55659,-5.59182,-98.565475,114.33333333333333,-56.828445,20.420008,-21.400345,-99.10687,120.3529411764706,-40.48627471923828,78888,120.18427634239197,,37
-45.22406,23.852713,2.0195465,-82.816284,114.16666666666667,-44.58421,35.55684,11.906288,-115.91608,129.4375,-30.400724411010742,80959,123.88292694091797,,38
-58.10783,27.853037,-17.351246,-117.43529,131.6875,-48.8965,41.009148,40.62226,-128.10661,143.2,-35.52293014526367,83107,127.75730776786804,,39
-45.394577,34.407364,-6.664381,-124.79864,176.83333333333334,-44.38842,37.04945,6.3513374,-126.915726,133.4,-32.506797790527344,85108,131.56504130363464,,40
-39.838215,38.62747,21.420486,-88.50658,149.64285714285714,-55.041103,31.136868,-3.4959612,-115.1543,154.92307692307693,-33.01406478881836,87122,135.32513999938965,,41
-36.219547,37.167778,19.176285,-100.683716,156.46153846153845,-43.76126,41.721394,23.127419,-107.142654,148.35714285714286,-28.27254867553711,89199,139.1050684452057,,42
-37.43302,28.4159,1.4358978,-99.2163,164.46153846153845,-37.82325,33.224705,40.055588,-96.66255,128.3125,-36.50223922729492,91252,142.92940759658813,,43
-72.368904,42.35606,-0.47368574,-137.39336,213.0,-47.63262,35.20336,35.429695,-109.972,166.46153846153845,-29.737327575683594,93416,146.98501110076904,,44
-55.85593,32.826897,-13.099739,-117.89001,178.5,-25.442307,65.03602,121.7928,-102.33486,243.0,-10.563584327697754,95603,151.56582617759705,,45
-52.795242,52.340298,1.6667023,-184.18924,202.08333333333334,-89.506294,83.73608,-1.679039,-232.77985,252.75,-31.236705780029297,97625,156.0392289161682,,46
-62.17369,76.66033,26.556473,-280.0008,189.58333333333334,-100.74263,93.5237,-21.939445,-327.78214,223.3,-41.587013244628906,99858,160.43135166168213,,47
-100.81415,83.3161,-35.76117,-281.9147,351.1666666666667,-43.630733,60.791687,43.935986,-184.03957,173.33333333333334,-30.111478805541992,101938,164.5930359363556,,48
-28.59622,49.42908,68.03162,-85.857895,297.2857142857143,-45.82201,37.572464,4.3624363,-105.656555,237.11111111111111,-18.6523380279541,104072,169.11440181732178,,49
-20.502163,44.451088,92.852715,-80.389725,242.33333333333334,-51.41949,53.80298,-0.48338318,-169.1651,230.11111111111111,-23.54697036743164,106143,173.5646414756775,,50
-69.185234,77.96328,27.857595,-251.4625,266.75,-16.491888,28.317305,29.1848,-51.77238,310.0,-5.69730806350708,108313,178.5046272277832,,51
-20.500513,41.23448,43.985813,-136.48221,156.42857142857142,-0.6456661,52.359436,116.43837,-57.334053,286.0,-1.360990285873413,110315,183.04666781425476,,52
-35.699512,28.059273,-13.566479,-108.623924,232.11111111111111,-17.500463,22.33731,14.123013,-57.95878,172.58333333333334,-15.646344184875488,112386,187.85361194610596,,53
-4.634198,36.393387,51.95276,-61.505524,236.5,-31.165178,43.126312,24.722298,-145.1601,144.85714285714286,-23.65012550354004,114414,193.29354739189148,,54
-32.30028,41.515034,9.800079,-177.80243,142.13333333333333,-45.07725,51.653854,42.181076,-118.304886,197.63636363636363,-26.7366886138916,116588,198.00725412368774,,55
-9.974186,74.120895,193.84143,-64.73959,231.88888888888889,-4.2654495,44.568264,104.40971,-53.8656,272.5,-2.8965938091278076,118768,203.24308061599731,,56
-42.593674,23.220564,-14.712263,-95.07878,258.625,-60.522717,57.648937,-12.423712,-196.19226,213.3,-32.51956558227539,120901,207.9849910736084,,57
-14.418463,29.23705,23.558956,-66.29141,207.4,-10.937777,44.23013,87.14438,-55.889534,302.2857142857143,-7.614099979400635,123017,213.08531069755554,,58
-73.38086,71.33011,-3.4239902,-219.40527,233.77777777777777,-28.745619,57.71875,49.65254,-138.80804,348.3333333333333,-11.912748336791992,125107,218.12790369987488,,59
-22.825415,51.14194,22.042244,-163.61957,194.08333333333334,-6.5011263,41.140297,83.50545,-45.129005,289.25,-2.2656991481781006,127421,223.62135982513428,,60
-5.636801,69.73036,78.96236,-115.08118,515.75,-21.87021,48.593834,27.851109,-124.38155,257.0,-13.045343399047852,129477,229.15392422676086,,61
-76.05698,93.30769,62.73252,-173.89062,457.4,-10.66446,52.650143,40.904778,-154.03688,272.2,-9.611820220947266,132199,235.66070103645325,,62
12.979435,82.70125,152.77599,-49.091362,505.25,-13.702661,76.18212,59.697464,-175.4824,260.77777777777777,-13.041703224182129,134546,241.09290719032288,,63
-0.7887756,40.236115,76.18988,-39.595615,464.4,-16.81997,45.176785,44.00914,-101.867905,347.5,-7.777815341949463,136631,247.3957335948944,,64
-23.523443,52.370575,53.49673,-125.94122,342.85714285714283,0.19983418,34.7326,41.414055,-62.576233,352.5,-4.43020486831665,138746,253.60758757591248,,65
32.229866,22.759192,52.416443,-17.883236,420.2857142857143,61.56784,76.04506,163.45715,-39.52392,582.75,5.667123317718506,141077,261.14544224739075,,66
16.387917,28.758501,55.41577,-14.424534,641.5,13.417722,74.11965,77.01508,-90.541306,756.0,-1.7795066833496094,143345,268.246461391449,,67
-79.738495,67.80078,-2.4353313,-196.75114,267.5,-49.000034,58.011482,29.564384,-153.13345,300.85714285714283,-22.083707809448242,145451,272.9418296813965,,68
35.357407,105.98703,224.87318,-58.022385,304.85714285714283,-37.569485,72.67627,12.190652,-224.46924,254.125,-20.124488830566406,147484,277.6719608306885,,69
-50.246998,55.262806,29.199818,-117.164696,465.2,-5.1829376,91.61099,129.38425,-111.94734,660.75,-1.2717370986938477,150127,284.22341752052307,,70
17.896341,19.900396,36.351715,-7.3722076,519.4,40.046494,11.010666,55.340393,29.864864,719.6666666666666,4.194034099578857,152286,291.73750495910645,,71
12.343697,113.43382,176.58577,-194.32797,378.1666666666667,-22.175982,79.68168,84.45033,-118.025345,641.25,-2.551318645477295,154851,298.3288793563843,,72
24.76387,60.739994,87.65158,-99.16737,481.3333333333333,-29.20237,57.556824,26.722197,-176.2744,250.22222222222223,-19.4749755859375,157103,304.58729100227356,,73
-20.569946,28.29738,10.9817705,-77.29286,288.625,47.250862,101.029915,224.72441,-40.10518,422.0,4.89753532409668,159213,310.3114573955536,,74
-3.731929,65.74948,109.76373,-74.6814,418.2,39.115643,76.98221,147.32376,-53.237465,427.0,2.192929744720459,161348,315.9490783214569,,75
6.9175277,35.373913,74.03719,-41.275536,441.3333333333333,-11.7269335,43.09845,57.313274,-69.74344,350.0,-7.599002838134766,163448,322.35112714767456,,76
52.3272,122.32693,209.40091,-95.24121,455.6,-31.84231,72.76649,45.19678,-162.91852,403.8333333333333,-15.44736385345459,165871,328.2598614692688,,77
23.593046,19.66617,43.259216,3.926876,1000.0,-14.014077,46.013783,48.38376,-76.154305,260.75,-13.40075397491455,167957,333.48638582229614,,78
22.039198,58.77191,104.45664,-58.789772,602.25,2.0128982,51.2074,46.038353,-106.96777,428.8333333333333,-7.461224555969238,170530,340.7167410850525,,79
8.088909,156.43088,234.8562,-206.13623,579.0,33.97758,52.21158,140.90982,-28.793343,422.85714285714283,4.7632036209106445,173490,347.52156352996826,,80
28.621994,0.4864807,29.108475,28.135513,1000.0,-40.816734,85.422585,54.05007,-179.355,565.5,-13.940360069274902,175752,353.53316354751587,,81
